sentiment,txt
1,﻿اللهم لا تدع لى ذنبا الا غفرتة . اللهم اصلح لى دينى
1,اصدقاء اوفياء ونتعلم منهم
1,اللهم اهدنا الى صراطتك المستقيم
0,﻿ ولا مستحيل يطلع واحد يفشل نفسه كذا
1,قولى يارب .. ثم توكلى عليه انه نعم المولى و نعم الوكيل.و احتسبى عنده ما تظنين انك لا تقدرين عليه 
0, وين القناه التافة الى تعرض هذول المعاتية صحيح نحن في انحطاط
0,﻿خليه يرفع لكن اللي عنده وطنيه و انتماء يصف سيارته بالشارع و يروح على الشغل مشي
1,ربنا المستعان ادعولنا ارجوكم
1,الحمد انا متفائلة جدا في كا امور حياتي ورح اضل هيك دائما
1,حقيقة
0, ولا انا صوووتي كذا اجي اهباال هوو
1,اللهم كن مع اخواننا في سوريا 
1,﻿مش عارف لية بيتحوله و هما الى دواره عليك وكان نفسهم تكون معاهم فى الأول
0,كـلمـة حـبـ عـجـبـتـنـى جـيـتـ آقــؤلهـآ جــرحـتـنـى
0, اغبياء
0, عرب اغبياء
1,اللهم ارزقنا رزقا حلالا
0, مياعة وسئالة من عدولة والي معو
0,﻿ كتكوت ضعيف الجناح و الدنيا غدرت هااا
0,كلهم معندهمش احساس
1,عجبتني
1,يارب ساعدني وقويني وساعدني أخد حبيبي
0, فعلا مهزله
1,يالله ما اروع هائولاء الناس
1,﻿ربنا يبارك فيه و يكون قدوه للجميع المسلمين فى انحاء العالم
1,﻿اللهم انك عفو تحب العفو فاعف عنا
0,انت عنجد بنت فاشلة
0, فطست ضحك على الشايب
0,تحطم ماتبقى من اطيافي
1,﻿ناس عزيزة و المعزة لهم غير ... فيهم صفات الصالحين العلية
0,﻿  يخرب الدلع
0,﻿يا جاهلين .. يلي بحكي عن الطاقه .. النووي وجودو كفيل بوفاة 10000 شخص وولادة 10000 طفل مشوه .. ولو انو اشي منيح كان ما بزتوه بالصحرا .. وجودو بعيد بقلل مخاطر بس ما بمنعها .. و يلي بحكي انو احنا امه جاهله ما بدها تطور .. بكون هوه الجاهل و عدو نفسو و عدو الانسانية .. و بلا ننوي و بلا زفت ... قال نتطور قال . .لو بدنا نتطور طورنا حالنا من زمان مش على دور الننووي .. شعب جاهل
1,التشائم يقتل الحياة
0,﻿  أخ يا بطني عورني من الضحكككك 
1,﻿الله الله عليك يا استاذ عمر و بارك الله لك و بارك عليك و جزاك الله عنا خيرا كثير
1,بارك الله فيك أنانضال فدعولي بزوجة صالحة
1,﻿صباح الاماني المحققه باذن الله 
1,يجب على المسلم ان يواسى اخوه فى الاسلام
1,﻿اللهم اجعلنا دائما مسلمين صادقين في افكارنا و في اعمالنا
1,﻿الحمد لله على القضا و القدر
1,كلام سليم 
1,سلامي عليك 
0, طلعوا العرب اخس واخس واخس
0,﻿ صوتهآ بعيرَ ومصدقه حآلهآ 
1,يا رب خد بياايدينا يااجبرنا ياجبار السموات والارض
0, تدرون ،، الشرهه ع اللي شجّعهم يروحون للبرنآمج
1,يارب أنت المستعان فأعنا واهدنا يارب الكون أجمع استجب
1,انت يا دكتور خير اخ ربنا يزور عليك
1,وان مدحتك بالقصائد ماوفيت
0,تليفيزيون المستقبل صار سيء للغاية ما أدري ليش!!
1,لأن بالفعل في شي
0,﻿ والله ما يحرر عزبت بنقاليه 
0,﻿ 58 ثانية كأنه جورج وسوف وهو في الحمام معه اسهــــــــــال تكرمون جميعاااااااااااً 
1,الوفاء اصبح شئ نادر يكاد يكون معدوم
0, قمة التخلف والانحطاط
1,ربنا يستر واخلاق المتاسلمين لا ترجعه مرة اخرى
1,الله يعين الجميع
1,الله يزيدك من العلم ما تنتفع به الامه
1,المهم الدعاء في السجود حتى تغسل عينيك الدموع
1,فى ناس كتيرربنااكرمهابنعمة الاسلام ولكنهالاتدرك قيمتها
0, متى يجي .. عام 2050 عشان ادخل رجلي مع الشاشه واحطها بفمك 
0,﻿التقدم و الازدهار يكون مرتبط بقواعد الأمن قبل الشروع في بناء المفاعل عليكم قراءة التقارير الصادرة عن هيئة الطاقة و المخاطر التي سيجنيها الأردن جراء انشاء المفاعل يا عزيزي ديمونه انتهى عمره وسيكون المفاعل الاردني بديل في أرض ستكون مكباً للنفايات النوويةة المطلع الله
1,﻿اللهم اجعلنا ممن يتمتعون بروح و ريحان
1,يارب أعيني علي دكرك وشكرك وحسن عبادتك 
0,وقعنا ولا ما وقعنا يللي بدهم يعملوه بيعملوه
0,انا ضد وجود المفاعلات النووية في الأردن
1,كلام بليغ اللهم أرزقنا الزوج الصالح من يعرف معني رفقا بالقوارير
1,﻿اللهم اعنا على انفسنا و اجعلنا نرى الدنيا صغيرة و الآخرة كبير
0,كلاب بتعوي
0,عيب عليكوا تقارنوا وحدة زى دى بالمصحف الى هوا كلام ربنا
1,عمل السريرة هو العمل الخالص لله اللهم ارزقنا عمل السريرة
1,اللهم اكثر من امثالهم
1,اللهم قوِّ إيماننا لنكون أصحاب عزيمة و قرار 
1,﻿الاسلام هو حسن الخلق ألا تعرف بأن الحبيب صلى الله عليه و سلم لقب أمينا قبل نزول الوحي 
0, الجيل الي هيحرر فلسطين شوفه في سوريا يقاتل العلويين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم،،
0,و إلى أسماء الاسد : كـــس أخـــت زوجـــك :)
0,احلى زبالة  بوجهك
0,احسن من هيك رئيس وزراء ما في 
1,أهلا وسهلا بك بيننا يا طارق
1,يارب اجعلنى من المصلحين
0, خسارة فيك اسمك :
0,﻿اللهم انا نشكو اليك ضعف قوتنا و قلة حيلتنا حسبنا الله و نعم الوكيل
0,﻿  سبحان الله غصبن على الي مايرضى ودهم يروحون النار حتى بالحرام موفالحين
0,﻿ما ازنخك انت و مقالاتك
0, العجوز هذا والرجال إلي بجنبه بله وأغبياء وأنهم يثبطون الواحد
0, من اجل هذا تم قدوم ٢٠ الف من الجيش الامريكي
0,﻿ برنامج قديم
1,ربنا يباركلك يا أستاذي و يعزك
0,ﻣﻴﻴﻴﻴﻴﻦ ﺑﻀﻞ ﻳﺸﻴﻞ ﺍﻟﺸﺒﺸﺐ ﻣﻦ ﺟﻤﺒﻲ
1,الهم اصلح بنات المسلمين
0, صوته مره منبح احسه تعبان عاد زبدولة مابقى الا يطلع بعد شوي 
1,اللهم ثبتنا وثبته على دينك الحنيف وسنة نبيك
0,الله اكبر على كل ظالم
1,اللهم اهدنا لكل عمل يقربنا اللى حبك
0, لو يطلع عليهم 10 من مخيم اربد و 10 من مخيم الحصن و 20 من مخيم الزرقا و 30 من مخيم عمان و 20 من مخيم البلقاء و 20 من مخيم الشهيد عزمي المفتي بفضحو عرضاتهم كلهم
1,﻿انت مو انت و انت جوعان كل شوكولاته و افرح
1,الله اكبر ولله الحمد
0, بس انا دايم احسها خشنة و رجال 
1,﻿اللهم اصلح حالي و احفظني و نور قلبي و اجعل طريق الخير طريقي و اجعل عملي خالصا لوجهك الكريم و توب علي و اغفر لي زلاتي
1,﻿أللهم ثبت قلوبنا على الإيمان
1,الحمد لله الحمد لله الحمد لله لن يسعنا الكون حمدا و شكرا ففضلك ربي اعظم و انت ربنا الاكرم
1,الحمدلله من كل ضيق اسجد لله احس ان فى اعله مستوا وانسا واتذلل الى الله ليحمينى من فتن الدنيا واحسن منزلى فى الجنه
1,هذه من أقوال الرفيق المناضل 
0, طول عمري بخاااف من العوب العب
1,لا تحزن الدنيا ما فيها اشي تحزن عليه
1,سعادتنا تكون بحسن الاستمتاع بالأشياء التي نحصل، عليها كما تكون بحسن الاستغناء عن الأشياء التي نُحرم منها
0, مهزلة
1,بارك الله لكما وبارك عليكما وجمع بينكما على خير
1,الله يستر على بنات المسلمين جميعا
0, طول عمر بخاف أن أمثالك يصبحوا مطربين
1,نفسي اروح عمرة واشوف الكعبة
0, والله انك مسخره يا عجوز
0,﻿ اظن انهم حبو وانجرحوا وضاعت عقولهم وما دخل قلوبهم الا اغاني الجروح عشان كذا حافظينها وجايين يقولونها .. اللهم لاشماته 
0,بسسسسس  مقززز
0, هذه رويدا عطيه يا الخبوول
0,اللي موافق عالمفاعل يبنيه جنب داره ... ما يسطح الواحد غير المتحذلقين اللي يخلوا حالهم مثل ابو العريف ما حد يفهم غيرهم .... رابع افقر دوله في العالم في المياه وتبنى مفاعل نووي !!! استنوا لما يطورو مفاعلات نووية صحراوية وبعدين اشطحوا
1,ماشاء الله عليكم بجد موضوع مهم جدا والاهم الرقي الرائع في الحوار 
1,ضع امنياتكم في سجده انساها وتاكد ان الله لن ينساها ابدا
1,انا مش عارفة كيف ابدا حياتي
0, اقرفني شعر تقول حاط دبر امل وجاي
0, يخرب زوئك
0, التاسعه تبي تكسر الكميرا
0,﻿ياخسارة العروبة فيك
0,﻿آخر واحد مهستر
0, مش طبيعي سماكة الدم شو ها عدولة خرب المفطع لشو المبالغة والاوفر يعني
1,الابتسامه كلمه طيبه بغير حروف
0,"للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل"
0, السلام عليكم الحقيقه انا لا اعرف شو وقاحة هاي اللجنه المشترك يعطي ما عنده من مواهب هذا ما عنده وهم يعطون ما عندهمما 
1,اسعد الله صباحكم علامتنا بالخيرات
0,مسخره
1,متخافش يامؤمن قول يارب وحب ربك دة هو اللى خلق النعمة اللى انت متعلق بيها يعنى هو اعظم من النعمة دى وانت عارف كدة
0, دمهم ثقيل
0,"﻿للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال و ذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل و لن يكون ملك للأردن و بالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر و بالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل"
1,أحلى صباح من أحلى شيخ في العالم 
0,﻿ رهيب حسن ... تعاالى .. تعاالى 
1,بارك الله في دين الاسلم
1,صباحكم سعادة وعبادة مقبولة ان شاء الله
1,﻿أحب الله تعالى و رسوله الكريم
1,اذا دم البشر أحمر
0,نحن نرفض المفاعل النووي
1,الله يبارك فيك ومرحبا يااخي في الاسلام
0,﻿ السماعات خربت 
0, والله هبل في هبل
0, حتى بالستايل مقلده الله ياخذ عمره الغبي 
1,﻿صدقت يا رب إجعلنا راضين بقدرك
0,هو فى حد اساسا لسه بيتابع البت دي هاي عنجد بتقرف
1,﻿الحمد لله أكسجين يعيد للصدر أنفاسه ، ف تجدها ب الصوت السعيد و الصوت المتئاكل من البكاء
1,﻿و الله و بالنهاية يكونو رائعون
0,﻿ اللهم لا شماته ليش ياربي  يحرجوا انفسهم
1,يارب عوضنا خير مما أخذ منا
1,إنه غير مسلم ويعرف قلبه الوفاء فكيف حال المسلمين اللهم أرزق بنات المسلمين زوجا طيبا محبا مثله 
1,عليك بتقوى الله ان كنت غافلاً 
1,الحمد لله ع السلامه 
1,كلام جميل 
0,﻿ هالانسان مجنون لابس بدلة رياضة وجاي يغني حتى لو صوتك زين اللبس عدل
1,كلنا ما انتصرنا على نفسنا وعلى الحاجة ددي إلي متعبتنا ومبعدتنا عن الله .، 
1,قول يا رب وخد قرار 
1,والحاجة الي انت بتحبها دي هي مش اكتر من حاجة زينها الشيطان واقنعك بحلاوتها بس هتندم بعدين
0,انتخب مين يا عم  هى  ناقصة لبخة فى الكلام  معتش الا الاهبل ده كمان يبقى رئيس جمهورية
1,﻿نحن نحبك في الله و ندعو لك بظهر الغيب
1,﻿و نعم الصديق
1,يالله ارحم احبتى واشفهم وعافهم واعف عنهم
0,ههههههههههههه شكلو عمرو ماشاف كاميرا تصورو
1,صلوا علي من بكي شوقاً لرؤيتنا
0, برنامج معوق ومشاركين معوقين:)
0,يلعن شرف خواتك 
0, خبر عاجل يمنع لجميع المجانين التقدم الى سوبر ستار
1,صباح الورد والفل
0,"الوحيد الذي لايتركني ولو لحظه"""
0, يلعن ام اللي باخر المقطع حق عدوله يا هو ثقيل دم
1,﻿اللهم اصلح حال المسلمين و اجعلهم من الرباتين حتى نحرج مما نحن فيه لانه ان خلصت النوايا صلحت الاعمال
1,يا طيبة بالروح افتدينا
1,انا اخدت قرار وبعدت عن معصيه لله وقدرت وربي وفقني
0, وجه حسن عزااب
1,جزاك الله خيرا
0, تفو كس امك حمارة
0, تضرب منك لعدوله
1,ما اضيق العيش لولا فسحة الامل،...الحمد لله
1,يا الله استجب دعائي ياالله مادكيت بابك يوم ورحعتني خالية الوفاض
0,﻿
0, قمة التخلف البشري الله يشفيهم
0, كنا نقول عاهات
1,﻿صباح الفل و الورد يا شيخ سلمان عطر الله صباحك بذكره و شكره و حسن عبادته
1,قول يارب وخذ قرار 
0, لعن الله المتشبهين من الرجال للنساء
1,الحمد لله على نعمة الإسلام
1,﻿اللهم لا تجعلنا من المنافقين
1,ربنا يكفينا هذا الشر
0,يارجاااااااااله ينهاااااار﻿ منيييييلل
0,لو كاكا بالبرازيل كنت اعطيط لايك بس هيك فشر
1,﻿اشهد الله اني احبك فى الله و ادعوا ان نحشر مع حبيبنا و امامنا محمد صلى الله عليه و سلم فى الجنة امين
0,غبيييي من جده
0, ثقيلين دم كثير
1,يا شيخ خالد ربي يحفظك نبي منك طلب 
1,يا رب استجب دعائنا وانصر اهلنا في سوريا
1,لا كرامه في الحب والغرام
1,انا فعلا مؤمن بالفكرة دي جدا وبحاول انفذها
0,﻿المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه و ستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتورة
0, اموت بصوتها
0,كلو حكي فاضي
1,﻿صباح هادئ ۆ انفاس تحمل تفاؤل ۆ يقين بان گل مَ سيكتبہ أللہ لنا ﻓي كل يومَ خير أصبحنا و أصبح الملك لله 
0,لى جماعه الاخوان الخسيسة كيف بدكو الوطن يتصلح وانتو قسمتوه لفريقيين كل واحد منكم اخدنا لمطرح ومش عارفين واصليين لوين
1,اللهم إجعلنا ممن يأخذون بالأسباب
0,﻿لنفترض جدلا ان لا اضرار صحية و بيئية سينتج عن بناء مفاعلات نووية سلمية ، دعونا نفكر في الكلفة من حيث اولا: كلفة بناء عالية جدا لعدم امتلاكنا لهذه التكنولوجيا على شكل ديون تثفل كاهل العشر اجيال القادمة، ثانيا: لنفس السبب سنستورد خبراء للتشغيل لسنوات طويلة مما يزيد كلفة الطاقة وليس العكس ناهيك عن حصول اي اخطاء مفترضة مستقبلا ثالثا: اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافية للتبريد رابعا:من حق المواطنين واصحاب القرار الحصول على تقرير منشور للاثر البيئي مسبقا. بنفس الوقت نستطيع الحصول على نفس كمية الطاقة من الصخر الزيتي الذي نمتلك منه احتياطي هائل ومن الغاز الطبيعي المؤمل مستقبلا ومن الطاقة الشمسية ومن طاقة الرياح بكلف نسبيا اقل بكثير من النووي دون اعباء ديون اضافية.
0,والله انك ما زلية يا شيخ اكيد مدفوعله من تحت ل تحت
0,انخرس
0, اخر واحد يادلوخ ياحمير تمثيل
0,"﻿الاردن لا تمتلك اي الخبرات الفنيه في انشاء او صيانة او تشغيل المفاعلات النوويه ! لاردن ليس لديها سوى شهادات دكتوراة في هذا المجال نظرية بحته ! ان انشاء مفاعل نووي يعنى مقامرة كامله بمئات الملاييين و المضحك في الموضوع ان بداية المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيئة الطاقة النوويه ! اليس الاجدر بهكذا مفاعل ان يتبع لاحدى الجامعات ؟ علاوة على ان كل هيئة الطاقة تم انشأها ""رضوة"" لفلان وعلنتان ! الاولي يا سادة ان يتم طرح انشاء شركة للتنقيب عن اليورانيوم وبيعه و لتصبح الاردن دولة مصدرة لهذه المادة . امر اخر كثر الحديث مؤخرا عن انه يوجد في الاردن بترول و بكميات على الاقل تكفي استهلكنا المحلي !!"
0, الغباء واضح
1,اللهم انى استغفرك واتوب اليك
0, اسفل من بعضهم
1,﻿اللهم ثبت قلوبنا على الايمان
1,هستوكم 
0,يخسو الشيعه الخنزير
1,الله يبارك فيك جمــــــــــــــــــيله
0, ما بتحبو حد 
1,اللهم تب علينا انك التواب الرحيم
1, بالفعل لازم كل واحد بيتكلم عن الدين اقل مافيها يلتزم باقل مبادئه عشان يكون قدوة مش ييخلي الناس تقول هو ده الدين
0,يلعن شرفك شو واثقة من حالك 
0, كانت تسوي مقلب انها محترمة بعدين اعترفت انها ................. 
0,"فهم ادرى واخبر لا وبل اكثر انكارا"" للشيعة  وامثالهم"
1,احلى اشي في الحياة الاستقرار مع زوج صالح
1,﻿اللهم ما اصبح بي من نعمة أو بأحد من خلقك فمنك وحدك لا شريك فلك الحمد و لك الشكر
1,مطلوب نصيحه منك لكي نستحضر الخشوع
0, والله ما في اشي مزعلني الا انه اسمه محمد
0,﻿التقدم والازدهار يكون مرتبط بقواعد الأمن قبل الشروع في بناء المفاعل عليكم قراءة التقارير الصادرة عن هيئة الطاقة و المخاطر التي سيجنيها الأردن جراء انشاء المفاعل يا عزيزي ديمونه انتهى عمره و سيكون المفاعل الاردني بديل في أرض ستكون مكباً للنفايات النوويةة المطلع الله
1,يااااااااااا الله ما احلاه من خبر والله فرحتوني
0, سوبر سطار ولا بلاش
1,الارواح جنود مجنده من تعارف منها أأتلف ومن تنافر منها اختلف
0,واحد واطي 
1,احيانا الوحده تزيل بعضا من ألهموم ..
0,ولكن كيف ان المفاعل النووي غير مضر بالبيئة فهمني ؟؟
1,رائع ولاجمل ♥حب ربنا
0,﻿انا اردني و بقول الشعب بيستاهل غلا اكثر من هيك
1,تركنا كل شئ من اجل رضا الله اللهم ارضى عنا
0,"﻿بس تكون من سكان اربد و تكون قريب على المفاعل النووي في جامعه التكنولوجيا و بتشرب من مياه اربد التي تبعد اقل من 100 متر في باطن الارض "" حوض اليرموك ""عن مركز المفاعل بتقدر تعترض .... وين بدك تصرف المياه التي تخرج من المفاعل ... "" لا تقولوا مفاعل التكنولوجيا تدريبي بس اسمه مفاعل و بتخرج منه مخلفات نوويه "" الدول الاوروبيه بدات الاستغناء عن المفاعلات النوويه ..... عندك مياه بالاردن من اجل تشغيل المفاعل ..... قبل الحكم على الاشخاص الذين يقومون ضد هذا المشروع اسالوا الجولوجيين و اثرها على المياه الجوفية ..... بتحداك اذا بتسال خالد طوقان عن الاثار الجانبيه من الفاعل النووي و جاوبكوا .... كلامي هذا من دكاترة جامعات مختصين في الجولوجيا و اثره على المياه الجوفيه"
0,والله نوفي صح لسانك
1,للهم أملأ قلبي بحبك وحب نبيك وحب كل عمل يقربني إلي حبك
1,باذن الله بديت ولو مؤخرا بنفسى الحمد لله
0, ولا جورج في الزمنات بس حرام يفضحوهم
0, اشي بقهر مش لا هل درجه
0,نا بدي نموذج لسبونج بوب ههههههههههههههههه
1,ونعم الصديق
1,يا سلام على الوفاء اللي اتفقد في عصرنا ويا حسرتاه على الحب الذي بات مجرد كلمات
1,﻿صباحك مبروك و عدوك مهلوك
0,عيب والله اسم المقطع
1,عشان هيك قال النبي صلى الله عليه وسلم إن الكذب يهدي إلى الفجور...والفجور يهدي إلى النار
0,Noاكيد بقرف 
1,يا رب قدرنى
1,﻿اللهم اصلحنا و طهر قلوبنا من النفاق
0, اجل الاخير واضح انو بيمثل وتمثيلو خايس هو والخايسين ذولا
1,الامل بالله كبيييييير انشالله
0, عاهات 
0, احس بمرض لاشفت هالبرنامج
1,حياك اللة
0,﻿يااخوان احنا مع التطور بس منين نجيب سبعة عشر مليار دولار تكلفة المشروع . لنبدا اولا بااستغلال الرياح و الطاقه الشمسيه و الصخر الزيتي و نبد بتخفيف الفاتوره النفطيه .و المثل بقول خذ من طين بلادك و حط علئ خدادك.
0,ههههههههههههههه ما بقدروا
1,ان الله لا يضيع أجر المحسنين
0, بالله يا شباب وش رايكم بالاشكال هذه هل تتوقعون اهلهم كارهينهم والناس تجي لاهاليهم وتقول لهم حرام عليكم هذول من دمكم 
0,﻿ يلعن اوم السخاافه
1,﻿اللهم أغفر لى و لأمة المسلمين أجمعين
0, وانا مع انو الطاقة الشمسية هي البديل!
1,﻿جمال الصفحة من جمالكم و رقي اخلاقكم أنا متأكد ان صفحتنا ستعجبك فأنضم الينا و ادعو اصدقائك فنحن نسعد بك و بهم
1,الله عليك بجد رنا يهدينا كلنا ويهدي شباب المسلمين جميعا يارب العالمين
0,﻿ نسيانك صعب اكيد 
1,﻿صباحك ورد و ياسمين معطرين بنسمات من الجنة يا شيخنا الجليل حفظك الله من كل سوء ، نحبك في الله
